[2025-07-28 17:22:51] ERROR: invalid literal for int() with base 10: '24964                          47296'
[2025-07-28 17:24:03] PSS=698169 PrivateOther=387680 Graphics=143648 JavaHeap=24328 NativeHeap=73280
[2025-07-28 17:34:04] PSS=735408 PrivateOther=386588 Graphics=143648 JavaHeap=58904 NativeHeap=74828
[2025-07-31 00:54:19] | MaxTemp=66.4°C PSS=866951 PrivateOther=477332 Graphics=167388 JavaHeap=58956 NativeHeap=80704 | MemFree=199868kB MemAvailable=1099088kB SwapFree=1208908kB SwapTotal=2097148kB | Uptime=74164s BootCompleted=1
[2025-07-31 01:04:20] | MaxTemp=62.2°C PSS=874857 PrivateOther=406588 Graphics=168324 JavaHeap=61692 NativeHeap=80884 | MemFree=123240kB MemAvailable=964492kB SwapFree=1212688kB SwapTotal=2097148kB | Uptime=74765s BootCompleted=1
[2025-07-31 01:14:20] | MaxTemp=62.2°C PSS=865570 PrivateOther=391992 Graphics=168324 JavaHeap=66404 NativeHeap=80860 | MemFree=188436kB MemAvailable=1026824kB SwapFree=1171648kB SwapTotal=2097148kB | Uptime=75366s BootCompleted=1
[2025-07-31 01:24:21] | MaxTemp=62.2°C PSS=833188 PrivateOther=396716 Graphics=168324 JavaHeap=34104 NativeHeap=81104 | MemFree=92480kB MemAvailable=963388kB SwapFree=1173248kB SwapTotal=2097148kB | Uptime=75966s BootCompleted=1
[2025-07-31 01:34:22] | MaxTemp=61.6°C PSS=820833 PrivateOther=391880 Graphics=168816 JavaHeap=32100 NativeHeap=81108 | MemFree=231168kB MemAvailable=1112052kB SwapFree=1179716kB SwapTotal=2097148kB | Uptime=76567s BootCompleted=1
[2025-07-31 01:44:23] | MaxTemp=63.5°C PSS=857455 PrivateOther=394676 Graphics=168816 JavaHeap=65540 NativeHeap=81092 | MemFree=281004kB MemAvailable=1161552kB SwapFree=1179564kB SwapTotal=2097148kB | Uptime=77168s BootCompleted=1
[2025-07-31 01:54:23] | MaxTemp=61.6°C PSS=859817 PrivateOther=469372 Graphics=168820 JavaHeap=67696 NativeHeap=81176 | MemFree=189824kB MemAvailable=1070048kB SwapFree=1179400kB SwapTotal=2097148kB | Uptime=77769s BootCompleted=1
[2025-07-31 02:04:24] | MaxTemp=62.2°C PSS=809898 PrivateOther=389088 Graphics=168820 JavaHeap=23988 NativeHeap=81040 | MemFree=219564kB MemAvailable=1112456kB SwapFree=1179592kB SwapTotal=2097148kB | Uptime=78369s BootCompleted=1
[2025-07-31 02:14:25] | MaxTemp=61.9°C PSS=808737 PrivateOther=392668 Graphics=168820 JavaHeap=18724 NativeHeap=81136 | MemFree=230592kB MemAvailable=1122680kB SwapFree=1179844kB SwapTotal=2097148kB | Uptime=78970s BootCompleted=1
[2025-07-31 02:24:25] | MaxTemp=63.2°C PSS=846537 PrivateOther=460584 Graphics=168820 JavaHeap=52220 NativeHeap=91484 | MemFree=227760kB MemAvailable=1131264kB SwapFree=1183684kB SwapTotal=2097148kB | Uptime=79571s BootCompleted=1
[2025-07-31 02:34:26] | MaxTemp=61.9°C PSS=818340 PrivateOther=390404 Graphics=168820 JavaHeap=30188 NativeHeap=81424 | MemFree=95364kB MemAvailable=1007124kB SwapFree=1179232kB SwapTotal=2097148kB | Uptime=80171s BootCompleted=1
[2025-07-31 02:44:27] | MaxTemp=61.9°C PSS=857857 PrivateOther=391576 Graphics=168820 JavaHeap=68420 NativeHeap=81468 | MemFree=145768kB MemAvailable=1046904kB SwapFree=1179232kB SwapTotal=2097148kB | Uptime=80772s BootCompleted=1
[2025-07-31 02:54:27] | MaxTemp=61.6°C PSS=852523 PrivateOther=387108 Graphics=168820 JavaHeap=68788 NativeHeap=81496 | MemFree=155812kB MemAvailable=1042464kB SwapFree=1179232kB SwapTotal=2097148kB | Uptime=81373s BootCompleted=1
[2025-07-31 03:04:28] | MaxTemp=61.9°C PSS=809767 PrivateOther=387196 Graphics=168820 JavaHeap=26036 NativeHeap=81484 | MemFree=183056kB MemAvailable=1042632kB SwapFree=1183484kB SwapTotal=2097148kB | Uptime=81973s BootCompleted=1
[2025-07-31 03:14:29] | MaxTemp=62.5°C PSS=852939 PrivateOther=388364 Graphics=168820 JavaHeap=68084 NativeHeap=81456 | MemFree=246200kB MemAvailable=1110724kB SwapFree=1141632kB SwapTotal=2097148kB | Uptime=82574s BootCompleted=1
[2025-07-31 03:24:29] | MaxTemp=62.5°C PSS=840768 PrivateOther=393936 Graphics=168820 JavaHeap=49704 NativeHeap=82092 | MemFree=108472kB MemAvailable=999144kB SwapFree=1132508kB SwapTotal=2097148kB | Uptime=83175s BootCompleted=1
[2025-07-31 03:34:30] | MaxTemp=62.2°C PSS=807166 PrivateOther=462364 Graphics=168820 JavaHeap=23180 NativeHeap=81496 | MemFree=127260kB MemAvailable=1010456kB SwapFree=1126604kB SwapTotal=2097148kB | Uptime=83775s BootCompleted=1
[2025-07-31 03:44:31] | MaxTemp=62.5°C PSS=854246 PrivateOther=390860 Graphics=168820 JavaHeap=66836 NativeHeap=81540 | MemFree=121812kB MemAvailable=990048kB SwapFree=1126764kB SwapTotal=2097148kB | Uptime=84376s BootCompleted=1
[2025-07-31 03:54:32] | MaxTemp=62.5°C PSS=810022 PrivateOther=394240 Graphics=168820 JavaHeap=19044 NativeHeap=81572 | MemFree=142128kB MemAvailable=1008784kB SwapFree=1126508kB SwapTotal=2097148kB | Uptime=84977s BootCompleted=1
[2025-07-31 04:04:32] | MaxTemp=62.5°C PSS=811381 PrivateOther=464348 Graphics=168820 JavaHeap=24840 NativeHeap=81528 | MemFree=206364kB MemAvailable=1100500kB SwapFree=1126764kB SwapTotal=2097148kB | Uptime=85578s BootCompleted=1
[2025-07-31 04:14:33] | MaxTemp=63.5°C PSS=856235 PrivateOther=393512 Graphics=168820 JavaHeap=66152 NativeHeap=81440 | MemFree=160548kB MemAvailable=1019252kB SwapFree=1128208kB SwapTotal=2097148kB | Uptime=86179s BootCompleted=1
[2025-07-31 04:24:34] | MaxTemp=62.8°C PSS=844898 PrivateOther=388844 Graphics=168820 JavaHeap=48728 NativeHeap=93244 | MemFree=119520kB MemAvailable=920948kB SwapFree=1131280kB SwapTotal=2097148kB | Uptime=86779s BootCompleted=1
[2025-07-31 04:34:35] | MaxTemp=63.5°C PSS=814147 PrivateOther=468140 Graphics=168820 JavaHeap=25220 NativeHeap=81524 | MemFree=159368kB MemAvailable=934740kB SwapFree=1127952kB SwapTotal=2097148kB | Uptime=87380s BootCompleted=1
[2025-07-31 04:44:36] | MaxTemp=62.5°C PSS=848183 PrivateOther=460120 Graphics=168820 JavaHeap=66976 NativeHeap=81596 | MemFree=138276kB MemAvailable=913812kB SwapFree=1127952kB SwapTotal=2097148kB | Uptime=87981s BootCompleted=1
