evidence_window,issue_ids,purpose,query_start_utc,query_end_utc,first_row_start_utc,last_row_end_utc,source_row_count,source_sample_count,ds_observed_row_count,ds_observed_sample_count,ds_gpu_percent_avg,host_cpu_percent_avg,host_memory_used_percent_avg,host_gpu_percent_avg,bluestacks_cpu_percent_avg,bluestacks_cpu_core_percent_avg,bluestacks_gpu_percent_avg,control_surface_cpu_percent_avg,sample_duration_ms_avg
pre_x6_3_final_15m,ISSUE-2026-002,Final 15 minutes of the last complete x6.3 battle before contention.,2026-08-11T02:21:11+00:00,2026-08-11T02:36:11+00:00,2026-08-11T02:21:15.570+00:00,2026-08-11T02:36:04.571+00:00,89,890,0,0,,39.06694587183316,85.838202247191,40.63004052448116,9.588822560325237,153.4211609652038,25.230245701234633,0.5364509934460744,69.67173865168539
death_stranding_observed_span,ISSUE-2026-002,Complete retained interval in which the ds process was observed.,2026-08-11T03:18:31.570+00:00,2026-08-11T07:57:56.554+00:00,2026-08-11T03:18:31.570+00:00,2026-08-11T07:57:56.554+00:00,1673,16692,1673,16680,68.9115013750747,82.26719792166766,95.05954948478313,76.5463468157471,8.518170225946545,136.2907236151447,19.38809906281647,0.6557515742391491,195.866760100647
contended_x2_full,ISSUE-2026-002,Six complete same-configuration x2 battles and their short gaps.,2026-08-11T03:38:04+00:00,2026-08-11T07:53:44+00:00,2026-08-11T03:38:15.934+00:00,2026-08-11T07:53:35.464+00:00,1528,15258,1528,15258,68.58074733915672,82.0511152694072,94.92705465985057,76.19486806145578,8.634570018588608,138.15312029741773,19.6613436698052,0.6540249240171416,193.1457262681872
post_x6_3_first_15m,ISSUE-2026-002,First 15 minutes of the first later full-length x6.3 battle.,2026-08-11T09:02:39+00:00,2026-08-11T09:17:39+00:00,2026-08-11T09:02:48.438+00:00,2026-08-11T09:17:37.437+00:00,89,890,0,0,,49.101333705924375,81.12247191011235,45.47638746037405,13.504088490355462,216.0654158456874,14.61369225771827,0.5041937106096592,70.84616426966292
