evidence_window,issue_ids,purpose,query_start_utc,query_end_utc,first_row_start_utc,last_row_end_utc,source_row_count,source_sample_count,control_surface_cpu_percent_avg,sample_duration_ms_avg,host_cpu_percent_avg,host_memory_used_percent_avg,host_gpu_percent_avg,host_gpu_dedicated_memory_bytes_avg,bluestacks_cpu_percent_avg,bluestacks_working_set_bytes_avg,bluestacks_gpu_percent_avg,ds_observed_row_count,ds_observed_sample_count,ds_gpu_percent_avg
cpu_clean_x6_3,ISSUE-2026-003,Stable clean x6.3 interval before Death Stranding first appeared.,2026-07-31T03:50:00+00:00,2026-07-31T05:02:51.799+00:00,2026-07-31T03:50:07.791+00:00,2026-07-31T05:02:50.799+00:00,433,4322,0.8334538843076104,50.39580758907913,36.18172959607366,82.37228135122628,39.83110804052493,7425863816.470153,15.039706869130342,262362662.1453031,25.187748973955806,0,0,
cpu_long_contended_x3_5,ISSUE-2026-002;ISSUE-2026-003,Long mixed run while Death Stranding was observed and speed was x3.5.,2026-07-31T05:02:51.799+00:00,2026-07-31T08:25:49+00:00,2026-07-31T05:02:51.799+00:00,2026-07-31T08:25:40.800+00:00,1217,12170,1.9141183181416548,114.72853903861954,76.86800812614555,89.7064092029581,47.131109816373694,11749307285.140509,11.50174041375996,254453401.55792934,15.611553752137949,1217,12166,44.54641552801525
cpu_short_contended_x3_5,ISSUE-2026-002;ISSUE-2026-003,Complete short x3.5 run while Death Stranding was observed.,2026-07-31T08:27:08+00:00,2026-07-31T09:22:58+00:00,2026-07-31T08:27:11.799+00:00,2026-07-31T09:22:50.804+00:00,334,3340,1.9151511926233753,115.12359883233533,80.17223692785484,88.5997005988024,48.303305074198605,11778268419.985628,11.674964277779825,232877116.09101796,17.2587007268739,334,3340,46.20047304780499
cpu_post_contention_x3_5_5m,ISSUE-2026-003,First five minutes after Death Stranding disappeared while speed remained x3.5.,2026-07-31T09:38:30.799+00:00,2026-07-31T09:43:30.800+00:00,2026-07-31T09:38:31.799+00:00,2026-07-31T09:43:30.800+00:00,30,300,1.7610862764875803,61.557956,37.63340200685432,72.65,26.26862737131423,7199996955.306666,16.396772207823293,236479378.77333334,11.671665874109317,0,0,
t19_long_mixed_final_15m,ISSUE-2026-002,Final 15 aggregate minutes of Battle20260731T012549-0700.,2026-07-31T08:10:41.800+00:00,2026-07-31T08:25:40.800+00:00,2026-07-31T08:10:41.800+00:00,2026-07-31T08:25:40.800+00:00,90,900,1.9090520095913812,109.8528258888889,77.74166612772028,88.32777777777778,48.33321580998074,11742159448.746666,11.15488724271454,256010740.62222221,15.109575816866704,90,900,46.755978446328115
t19_short_contended_final_15m,ISSUE-2026-002,Final 15 aggregate minutes of Battle20260731T022258-0700.,2026-07-31T09:07:51.800+00:00,2026-07-31T09:22:50.804+00:00,2026-07-31T09:07:51.800+00:00,2026-07-31T09:22:50.804+00:00,90,900,1.8985387785337622,115.95807488888889,79.10526595723044,88.48666666666666,47.95709083972151,11780243715.413334,11.152277942366625,226503757.36888888,15.80678766656732,90,900,45.87002124016443
t19_followup_final_15m,ISSUE-2026-002,Final 15 aggregate minutes of Battle20260731T033754-0700.,2026-07-31T10:22:51.799+00:00,2026-07-31T10:37:50.799+00:00,2026-07-31T10:22:51.799+00:00,2026-07-31T10:37:50.799+00:00,90,900,1.3801004835235577,49.717301666666664,35.96959838068022,74.07888888888888,17.242973077795163,7542499851.377778,14.009007496613773,242783864.60444444,7.0994005154633335,0,0,
t19_next_clean_final_15m,ISSUE-2026-002,Final 15 aggregate minutes of Battle20260731T072302-0700.,2026-07-31T14:08:01.799+00:00,2026-07-31T14:23:00.799+00:00,2026-07-31T14:08:01.799+00:00,2026-07-31T14:23:00.799+00:00,90,900,1.7912366909944235,71.53033922222222,35.48185392251819,79.01555555555555,16.36517858492444,7537695794.0622225,13.480658933494107,251736864.99555555,6.410620240525715,0,0,
